filename,id,keyword,photographer,score,blue_ratio,core_blue_ratio,vivid_blue_ratio,high_saturation_ratio,mean_saturation,mean_value,blue_saturation,blue_value,mean_blue_hue,target_hue_distance,target_hue_similarity,neutral_dark_ratio,white_ratio,grey_ratio,cyan_green_ratio,purple_ratio
sea_001.jpg,9lraaJCK2Vk,royal blue sea surface texture,Miguel Pérez,114.33427878662391,1.0,1.0,1.0,1.0,0.9771000146865845,0.8534972667694092,0.9771000146865845,0.8534972667694092,0.6091680526733398,0.0019430584377713167,0.9838078463519057,0.0,0.0,0.0,0.0,0.0
sea_002.jpg,KMJfM0GaL_A,vivid cobalt blue underwater,Max Harlynking,113.9039925797205,1.0,0.9677902621722847,0.9999906367041198,0.9999906367041198,0.9809134602546692,0.9167008399963379,0.9809134602546692,0.9167008399963379,0.6122636795043945,0.0011525683932833708,0.9903952633893053,0.0,0.0,0.0,0.0,0.0
sea_003.jpg,i0p916iq-ew,vivid cobalt blue underwater,Toa Heftiba,113.48262907760817,1.0,0.9710486891385768,1.0,1.0,0.9870233535766602,0.8131877779960632,0.9870233535766602,0.8131877779960632,0.6025819778442383,0.00852913326687288,0.928923889442726,0.0,0.0,0.0,0.0,0.0
sea_004.jpg,iYdycsFWMK0,royal blue sea surface texture,A. I.,112.95419838529415,1.0,0.9669642857142857,1.0,1.0,0.9655038714408875,0.6931838989257812,0.9655038714408875,0.6931838989257812,0.6028041839599609,0.008306927151150223,0.9307756070737482,0.0,0.0,0.0,0.0,0.0
sea_005.jpg,xpyFyupfamQ,vivid cobalt blue underwater,Emanuel Haas,112.80042117040651,0.9969288389513109,0.9542415730337078,0.9965917602996255,0.9985955056179775,0.9897094368934631,0.4251043200492859,0.9906101226806641,0.42337384819984436,0.6002863645553589,0.010824746555752274,0.9097937787020643,0.0,0.0,0.0,0.0029213483146067415,0.0
sea_006.jpg,B2_p8XbbMgQ,vivid cobalt blue underwater,Kristin Hoel,112.7081627636634,0.9999726277372263,0.9998448905109489,0.9997080291970802,0.9997080291970802,0.9207396507263184,0.6781409382820129,0.9207527041435242,0.6781322360038757,0.6175398826599121,0.006428771548800949,0.946426903759992,0.0,0.0,0.0,0.0,0.0
sea_007.jpg,4f0biSTfW3k,ultramarine ocean water texture,Francesco Ungaro,112.59460191338746,0.9960674157303371,0.9699906367041199,0.9944475655430711,0.9944475655430711,0.9302878975868225,0.5368960499763489,0.9330203533172607,0.5370948910713196,0.6113267540931702,0.00021564298205900556,0.9982029751495083,0.0,0.0,0.0018352059925093632,0.0,0.0
sea_008.jpg,l5MBJ-XKdn0,vivid cobalt blue underwater,Adrian Diaz-Sieckel,112.41679861588277,0.999437984496124,0.9919864341085272,0.9976937984496124,0.9976937984496124,0.9864914417266846,0.5781115889549255,0.9868376851081848,0.5778743624687195,0.6357829570770264,0.024671845965915207,0.7944012836173733,0.0,9.689922480620156e-06,9.689922480620156e-06,0.0,0.0
sea_009.jpg,AD-oSUTqiB8,royal blue sea surface texture,Tamanna Rumee,111.81855910333752,1.0,0.9995037453183521,0.9895037453183521,0.9895037453183521,0.8783972859382629,0.5204048156738281,0.8783972859382629,0.5204048156738281,0.6089227795600891,0.002188331551022049,0.9817639037414829,0.0,0.0,0.0,0.0,0.0
sea_010.jpg,YHe0kCL-8i8,ultramarine ocean water texture,boris misevic,111.06761150303593,0.9999555555555556,0.9996222222222222,0.9981777777777778,0.9982222222222222,0.8463773727416992,0.6012616753578186,0.84637051820755,0.6012851595878601,0.6052423119544983,0.0058687991566128694,0.9510933403615595,0.0,0.0,0.0,0.0,4.4444444444444447e-05
sea_011.jpg,PQwhtnon5R0,royal blue sea surface texture,Daniel Olah,110.85677866582517,1.0,1.0,1.0,1.0,0.8194393515586853,0.3134007155895233,0.8194393515586853,0.3134007155895233,0.6090604662895203,0.0020506448215908968,0.9829112931534092,0.0,0.0,0.0,0.0,0.0
sea_012.jpg,Qn98r9k8mv8,vivid cobalt blue underwater,Grant Cai,110.35791316748019,0.9990416666666667,0.9288166666666666,0.9646416666666666,0.9646416666666666,0.9128262996673584,0.7323806285858154,0.9133210778236389,0.7321317195892334,0.6153497695922852,0.004238658481173996,0.9646778459902167,0.0,0.0,0.0,2.5e-05,0.0
sea_013.jpg,3ADUM0IutFA,saturated blue ocean underwater,Juan Albarran,110.30348253043353,1.0,0.9974531835205992,0.9867883895131087,0.9867883895131087,0.8394668698310852,0.43340814113616943,0.8394668698310852,0.43340814113616943,0.6024399399757385,0.008671171135372635,0.9277402405385614,0.0,0.0,0.0,0.0,0.0
sea_014.jpg,FKsm2MJ1ME8,deep royal blue underwater,Max Harlynking,110.09241340252841,0.9832865168539325,0.9207865168539325,0.9722659176029963,0.9745318352059925,0.9184210300445557,0.6716119050979614,0.9282084107398987,0.672344446182251,0.613398551940918,0.0022874408298068083,0.9809379930849432,0.0,0.0012359550561797752,0.005814606741573034,0.0022659176029962546,0.0
sea_015.jpg,iwBPEw_Oq5k,royal blue sea surface texture,engin akyurt,109.63696401392079,1.0,1.0,0.9998876404494382,0.9998876404494382,0.7681060433387756,0.4937485456466675,0.7681060433387756,0.4937485456466675,0.6142070889472961,0.003095977836184982,0.9742001846984585,0.0,0.0,0.0,0.0,0.0
