image_name,colour_rank,hex,red,green,blue,lab_l,lab_a,lab_b
sea_009.jpg,7,#90B0CB,144,176,203,70.54,-4.75,-17.21
sea_009.jpg,8,#2A588E,42,88,142,36.67,3.4,-34.87
sea_009.jpg,9,#0E3972,14,57,114,24.47,8.96,-36.92
sea_009.jpg,10,#011851,1,24,81,10.84,17.67,-37.01
sea_010.jpg,1,#12666F,18,102,111,39.34,-20.41,-11.53
sea_010.jpg,2,#20747C,32,116,124,44.68,-21.67,-11.24
sea_010.jpg,3,#085962,8,89,98,34.15,-18.34,-11.7
sea_010.jpg,4,#2A838A,42,131,138,50.3,-23.5,-11.29
sea_010.jpg,5,#044C56,4,76,86,28.91,-15.78,-11.77
sea_010.jpg,6,#43959B,67,149,155,57.21,-23.15,-10.55
sea_010.jpg,7,#63A3A7,99,163,167,63.01,-19.53,-8.56
sea_010.jpg,8,#4A8A8F,74,138,143,53.52,-18.89,-9.41
sea_010.jpg,9,#023C46,2,60,70,22.49,-12.78,-11.21
sea_010.jpg,10,#84B7BA,132,183,186,71.16,-16.26,-6.63
sea_011.jpg,1,#0C3461,12,52,97,21.45,5.43,-30.95
sea_011.jpg,2,#052146,5,33,70,12.99,5.99,-25.98
sea_011.jpg,3,#021A49,2,26,73,10.84,12.27,-31.58
sea_011.jpg,4,#074781,7,71,129,29.64,5.34,-37.86
sea_011.jpg,5,#065AA1,6,90,161,37.55,5.95,-44.54
sea_011.jpg,6,#087BC5,8,123,197,49.72,-0.45,-46.19
sea_011.jpg,7,#033271,3,50,113,22.1,12.63,-40.29
sea_011.jpg,8,#0C9CE3,12,156,227,61.17,-8.42,-45.08
sea_011.jpg,9,#28BAF0,40,186,240,70.74,-18.32,-37.42
sea_011.jpg,10,#2C658E,44,101,142,40.81,-4.58,-28.07
sea_012.jpg,1,#01223B,1,34,59,12.34,-0.75,-19.29
sea_012.jpg,2,#0C364D,12,54,77,20.97,-4.64,-18.54
sea_012.jpg,3,#0E727D,14,114,125,43.72,-22.16,-13.28
sea_012.jpg,4,#0F5F81,15,95,129,37.48,-9.27,-25.75
sea_012.jpg,5,#4FD1E7,79,209,231,77.95,-28.64,-21.28
sea_012.jpg,6,#1887AF,24,135,175,52.57,-14.98,-29.22
sea_012.jpg,7,#245362,36,83,98,32.83,-10.79,-13.64
sea_012.jpg,8,#20B3DB,32,179,219,67.7,-22.44,-30.43
sea_012.jpg,9,#5799A9,87,153,169,59.5,-16.41,-14.89
sea_012.jpg,10,#9CD9E3,156,217,227,83.14,-17.2,-10.91
sea_013.jpg,1,#AFC3DD,175,195,221,78.11,-1.24,-14.95
sea_013.jpg,2,#97AFC7,151,175,199,70.28,-2.76,-15.17
sea_013.jpg,3,#628AB4,98,138,180,56.29,-2.44,-26.18
sea_013.jpg,4,#9CB5D9,156,181,217,73.13,-0.51,-20.92
sea_013.jpg,5,#2B5D83,43,93,131,37.65,-3.78,-26.26
sea_013.jpg,6,#44739D,68,115,157,46.94,-3.4,-27.38
sea_013.jpg,7,#81A1C6,129,161,198,65.07,-1.58,-22.85
sea_013.jpg,8,#7793AF,119,147,175,59.71,-2.8,-17.9
sea_013.jpg,9,#5A7A99,90,122,153,50.09,-3.37,-20.12
sea_013.jpg,10,#0D4465,13,68,101,27.08,-3.89,-24.36
sea_014.jpg,1,#0C6C76,12,108,118,41.47,-21.61,-12.43
sea_014.jpg,2,#6CC3CB,108,195,203,73.76,-23.75,-12.35
sea_014.jpg,3,#55B2D0,85,178,208,68.31,-18.9,-23.64
sea_014.jpg,4,#2DA8AC,45,168,172,62.98,-30.74,-11.86
sea_014.jpg,5,#269FB7,38,159,183,60.46,-23.66,-21.71
sea_014.jpg,6,#ABDAE9,171,218,233,84.22,-11.81,-12.32
sea_014.jpg,7,#1B85A2,27,133,162,51.41,-18.19,-23.55
sea_014.jpg,8,#0F8B93,15,139,147,52.47,-27.21,-13.05
sea_014.jpg,9,#85CCE6,133,204,230,78.35,-15.52,-20.06
sea_014.jpg,10,#194E56,25,78,86,30.3,-14.45,-9.96
sea_015.jpg,1,#1853A2,24,83,162,36.0,11.8,-47.76
sea_015.jpg,2,#114090,17,64,144,29.02,16.9,-48.41
sea_015.jpg,3,#2167B3,33,103,179,43.24,6.29,-46.16
sea_015.jpg,4,#16478C,22,71,140,30.9,10.42,-42.42
sea_015.jpg,5,#143C72,20,60,114,25.65,7.31,-34.87
sea_015.jpg,6,#1D5997,29,89,151,37.26,4.22,-39.43
sea_015.jpg,7,#103271,16,50,113,22.14,14.2,-40.2
sea_015.jpg,8,#317CC1,49,124,193,50.68,0.24,-42.31
sea_015.jpg,9,#0C2252,12,34,82,14.56,11.74,-31.82
sea_015.jpg,10,#74AEEF,116,174,239,69.45,-0.98,-38.24
sea_016.jpg,1,#5E91D8,94,145,216,59.67,3.68,-41.47
sea_016.jpg,2,#6FA1E4,111,161,228,65.29,1.94,-38.89
sea_016.jpg,3,#82B1EC,130,177,236,70.96,0.01,-34.7
sea_016.jpg,4,#577296,87,114,150,47.39,-0.22,-22.55
sea_016.jpg,5,#91BCE9,145,188,233,74.88,-3.44,-26.91
sea_016.jpg,6,#6E8EB2,110,142,178,57.8,-1.81,-22.46
sea_016.jpg,7,#475A7B,71,90,123,37.98,1.89,-20.97
sea_016.jpg,8,#A3BCD0,163,188,208,75.16,-4.2,-12.83
sea_016.jpg,9,#ABCCE9,171,204,233,80.64,-4.86,-17.61
sea_016.jpg,10,#333C54,51,60,84,25.51,3.15,-15.47
sea_017.jpg,1,#8FA2C8,143,162,200,66.47,1.79,-21.41
sea_017.jpg,2,#A0B2D4,160,178,212,72.23,1.56,-19.3
sea_017.jpg,3,#7E93BA,126,147,186,60.52,2.02,-22.94
sea_017.jpg,4,#6B81AA,107,129,170,53.84,2.28,-24.0
sea_017.jpg,5,#B2C1DF,178,193,223,77.81,1.15,-16.7
sea_017.jpg,6,#5A7098,90,112,152,46.98,2.46,-24.34
sea_017.jpg,7,#4A6085,74,96,133,40.39,2.28,-23.42
sea_017.jpg,8,#3C5172,60,81,114,33.98,1.96,-21.65
sea_017.jpg,9,#2E415F,46,65,95,27.15,1.98,-20.15
sea_017.jpg,10,#1C2D48,28,45,72,18.46,2.12,-18.62
sea_018.jpg,1,#3E639A,62,99,154,41.78,3.89,-33.64
sea_018.jpg,2,#6CA2DF,108,162,223,65.13,-0.71,-36.39
sea_018.jpg,3,#2B5388,43,83,136,34.87,4.48,-33.95
sea_018.jpg,4,#A5BEDB,165,190,219,76.04,-2.32,-17.2
