image_name,colour_rank,hex,red,green,blue,hue,saturation,brightness,proportion_percent,lab_l,lab_a,lab_b
sea_006.jpg,1,#1B46CA,27,70,202,225.3,86.64,79.02,14.19,35.6172,36.5539,-71.7755
sea_006.jpg,2,#1A45BB,26,69,187,223.95,86.02,73.4,14.02,34.1951,31.3568,-65.7264
sea_006.jpg,3,#1059EA,16,89,234,220.01,93.0,91.7,13.27,42.9999,35.9776,-78.1893
sea_006.jpg,4,#1B45AD,27,69,173,222.52,84.55,67.71,13.25,32.9487,25.772,-59.1656
sea_006.jpg,5,#011C74,1,28,116,225.8,99.08,45.39,12.08,16.0109,29.4596,-51.772
sea_006.jpg,6,#052E8E,5,46,142,221.88,96.73,55.54,11.98,23.4228,27.9056,-55.9219
sea_006.jpg,7,#042C9A,4,44,154,224.14,97.3,60.56,10.37,24.2148,34.3878,-62.5194
sea_006.jpg,8,#011257,1,18,87,228.14,99.29,34.31,7.77,9.9976,25.0643,-43.0476
sea_006.jpg,9,#063078,6,48,120,218.13,94.7,47.09,2.07,21.9296,17.6787,-44.8206
sea_006.jpg,10,#2D77E0,45,119,224,215.41,79.71,87.75,1.0,50.6964,15.0391,-59.9604
sea_007.jpg,1,#0713CB,7,19,203,236.43,96.43,79.43,27.37,26.1443,62.3092,-88.0927
sea_007.jpg,2,#030AB8,3,10,184,237.69,98.16,72.34,16.81,22.7424,59.6453,-83.1024
sea_007.jpg,3,#0712D9,7,18,217,236.83,96.71,85.01,14.91,28.0654,66.3526,-93.1718
sea_007.jpg,4,#142EEF,20,46,239,233.04,91.48,93.84,11.04,34.6747,62.6342,-95.0251
sea_007.jpg,5,#0D1DEF,13,29,239,235.94,94.47,93.78,10.95,32.2126,69.353,-99.0391
sea_007.jpg,6,#0406A2,4,6,162,239.02,97.8,63.73,7.43,19.1502,54.779,-75.8644
sea_007.jpg,7,#7A78DE,122,120,222,240.98,46.09,87.18,4.2,54.8562,26.8074,-52.2721
sea_007.jpg,8,#3741E5,55,65,229,236.36,76.02,89.71,3.44,38.3388,50.695,-82.9335
sea_007.jpg,9,#5E62E8,94,98,232,238.28,59.25,90.8,2.82,48.2379,37.1016,-68.2069
sea_007.jpg,10,#3C33A6,60,51,166,244.85,69.43,65.01,1.03,29.5199,38.9735,-60.5817
sea_008.jpg,1,#010464,1,4,100,237.66,99.42,39.22,22.29,9.1607,37.3164,-52.8443
sea_008.jpg,2,#010872,1,8,114,236.38,99.23,44.55,13.9,11.8094,40.0202,-57.3728
sea_008.jpg,3,#01169A,1,22,154,231.96,99.25,60.33,13.05,19.6106,46.8031,-69.7845
sea_008.jpg,4,#010E84,1,14,132,233.86,99.23,51.9,12.43,15.5303,43.1253,-63.1878
sea_008.jpg,5,#000357,0,3,87,238.26,99.72,34.0,10.39,6.7239,33.8482,-47.9573
sea_008.jpg,6,#0225B7,2,37,183,228.12,99.15,71.7,8.33,26.0779,48.3923,-76.578
sea_008.jpg,7,#00014B,0,1,75,239.59,99.52,29.59,8.2,4.8366,29.7427,-43.3187
sea_008.jpg,8,#0246E4,2,70,228,222.04,99.27,89.53,6.93,37.7462,45.681,-83.7046
sea_008.jpg,9,#0259F2,2,89,242,218.46,98.97,95.08,3.58,43.5581,38.9862,-82.1224
sea_008.jpg,10,#1D7CF6,29,124,246,213.78,88.17,96.65,0.91,53.3721,18.8978,-68.3509
sea_009.jpg,1,#5C7FF5,92,127,245,226.16,62.34,96.01,17.33,56.2374,23.3865,-62.7156
sea_009.jpg,2,#748DF8,116,141,248,228.69,53.1,97.16,11.51,61.2505,20.7443,-56.2407
sea_009.jpg,3,#073198,7,49,152,222.81,95.22,59.58,11.4,25.2129,30.309,-59.3374
sea_009.jpg,4,#07237B,7,35,123,225.22,94.63,48.36,10.91,18.8181,27.9263,-51.9943
sea_009.jpg,5,#3578F5,53,120,245,219.01,78.26,96.2,10.27,52.87,22.5878,-68.5044
sea_009.jpg,6,#051A63,5,26,99,226.73,94.82,38.71,10.12,13.5846,24.4215,-44.6419
sea_009.jpg,7,#0646BA,6,70,186,218.72,96.51,72.86,8.91,33.9126,29.3481,-65.3853
sea_009.jpg,8,#04144D,4,20,77,227.16,94.49,30.0,7.35,9.3618,19.3323,-36.5634
sea_009.jpg,9,#3563D3,53,99,211,222.7,74.76,82.6,6.17,44.637,23.6368,-62.281
sea_009.jpg,10,#0565EA,5,101,234,214.77,97.75,91.76,6.04,46.1301,27.6322,-73.1617
sea_010.jpg,1,#0850B7,8,80,183,215.29,95.43,71.82,19.46,36.4863,21.4598,-59.6176
sea_010.jpg,2,#5384D8,83,132,216,217.81,61.62,84.55,18.75,55.309,9.176,-47.9134
sea_010.jpg,3,#6695E0,102,149,224,217.26,54.35,87.99,16.63,61.3392,6.0205,-43.2301
sea_010.jpg,4,#215EC0,33,94,192,216.93,82.68,75.26,14.03,41.4994,17.2271,-56.5992
sea_010.jpg,5,#3D72CD,61,114,205,217.76,70.19,80.37,12.05,48.9184,12.5496,-52.1181
sea_010.jpg,6,#7EA9EA,126,169,234,215.8,46.28,91.76,10.65,68.6567,2.3529,-36.9781
sea_010.jpg,7,#122756,18,39,86,221.57,79.39,33.59,2.79,16.5659,10.6488,-31.0338
sea_010.jpg,8,#244B8B,36,75,139,217.41,74.49,54.63,2.6,32.2978,9.8609,-40.0373
sea_010.jpg,9,#032D95,3,45,149,222.61,97.92,58.42,2.08,23.9807,31.2144,-59.5502
sea_010.jpg,10,#5777AE,87,119,174,217.9,50.1,68.09,0.96,49.6998,4.2521,-32.7735
sea_011.jpg,1,#06254C,6,37,76,213.34,92.33,29.97,17.41,14.9644,5.9492,-27.3829
sea_011.jpg,2,#063669,6,54,105,211.32,94.08,41.36,17.27,22.5728,6.9942,-34.411
sea_011.jpg,3,#055292,5,82,146,207.4,96.28,57.11,12.64,34.1382,4.9501,-40.9894
sea_011.jpg,4,#021E4F,2,30,79,218.64,97.35,31.06,12.59,12.5237,12.6951,-33.25
sea_011.jpg,5,#0897E1,8,151,225,200.32,96.46,88.06,9.08,59.5851,-6.6097,-46.2626
sea_011.jpg,6,#16B6F0,22,182,240,196.1,90.66,94.11,7.3,69.289,-17.2697,-39.49
sea_011.jpg,7,#0671BF,6,113,191,205.44,96.89,74.99,6.92,46.3645,3.5603,-48.398
sea_011.jpg,8,#043C82,4,60,130,213.27,96.81,50.79,6.37,26.3193,12.8668,-43.6464
sea_011.jpg,9,#1C436B,28,67,107,209.96,74.12,42.01,5.29,27.7826,0.674,-27.1247
sea_011.jpg,10,#1F75AE,31,117,174,204.0,82.26,68.36,5.13,47.0611,-4.1338,-37.4647
sea_012.jpg,1,#0441D5,4,65,213,222.7,97.99,83.64,17.93,35.1497,43.3271,-79.3774
sea_012.jpg,2,#0F58EA,15,88,234,220.02,93.81,91.84,15.22,42.7236,36.7828,-78.8439
sea_012.jpg,3,#010B64,1,11,100,233.56,99.21,39.14,12.67,10.3347,33.6745,-50.7604
sea_012.jpg,4,#022FB7,2,47,183,225.03,98.78,71.93,10.81,28.1596,42.9082,-73.4695
sea_012.jpg,5,#01219B,1,33,155,227.55,99.14,60.59,10.7,21.7704,40.9959,-66.608
sea_012.jpg,6,#01167F,1,22,127,230.17,99.23,49.9,9.55,16.0314,37.8354,-59.1196
sea_012.jpg,7,#1A6DF3,26,109,243,217.22,89.19,95.31,8.01,48.9353,27.2573,-73.6476
sea_012.jpg,8,#00064C,0,6,76,235.6,100.0,29.79,7.97,5.7985,27.519,-42.0842
sea_012.jpg,9,#2B83F5,43,131,245,213.82,82.45,96.27,5.13,55.5602,14.9527,-64.2649
sea_012.jpg,10,#489FF6,72,159,246,210.17,70.78,96.54,2.0,63.9019,2.1367,-51.278
sea_013.jpg,1,#0000A5,0,0,165,240.04,99.83,64.89,25.86,18.9772,57.2141,-77.9729
sea_013.jpg,2,#0006B7,0,6,183,238.26,99.78,71.69,24.28,22.0737,60.2851,-83.241
sea_013.jpg,3,#0129C9,1,41,201,228.08,99.38,78.65,7.64,28.8426,52.4972,-82.4445
sea_013.jpg,4,#026CE1,2,108,225,211.46,99.21,88.18,7.58,47.1586,19.8045,-66.3324
sea_013.jpg,5,#1D83E9,29,131,233,209.85,87.64,91.38,7.05,54.5339,9.2348,-58.9965
sea_013.jpg,6,#023FD0,2,63,208,222.06,99.25,81.51,7.04,34.2631,42.0974,-77.7089
sea_013.jpg,7,#0254D7,2,84,215,216.8,99.2,84.19,6.78,39.9947,31.3156,-72.2158
sea_013.jpg,8,#4F9BF0,79,155,240,211.58,67.0,93.95,6.35,62.8429,2.9296,-49.3103
sea_013.jpg,9,#73B3F1,115,179,241,209.51,52.4,94.61,4.2,71.052,-3.3971,-37.2492
sea_013.jpg,10,#010687,1,6,135,237.72,99.29,52.88,3.21,14.8544,47.0547,-65.8904
sea_014.jpg,1,#0339BD,3,57,189,222.78,98.24,74.1,20.87,30.8326,39.2851,-72.3288
sea_014.jpg,2,#012799,1,39,153,225.05,99.41,60.15,16.93,22.8686,37.0671,-64.101
sea_014.jpg,3,#1558DE,21,88,222,220.05,90.55,87.15,13.05,41.859,32.3379,-73.4751
sea_014.jpg,4,#011C7A,1,28,122,226.82,99.0,47.9,12.18,16.6796,32.2702,-54.7878
sea_014.jpg,5,#256EE9,37,110,233,217.64,84.01,91.27,10.98,48.8009,23.0561,-68.0928
sea_014.jpg,6,#1143B2,17,67,178,221.35,90.35,69.86,6.83,32.6592,28.659,-62.9127
sea_014.jpg,7,#00105A,0,16,90,229.12,99.77,35.16,6.68,9.9279,26.8345,-44.6259
sea_014.jpg,8,#093360,9,51,96,211.06,90.13,37.73,6.41,21.2229,4.8843,-30.5487
sea_014.jpg,9,#0E364F,14,54,79,203.26,82.59,30.96,5.03,21.0686,-3.714,-19.376
sea_014.jpg,10,#5394E0,83,148,224,212.4,63.16,87.87,1.04,60.1318,2.624,-45.0141
sea_015.jpg,1,#01156B,1,21,107,228.63,99.02,41.82,15.42,13.2218,30.5692,-50.4686
sea_015.jpg,2,#01104F,1,16,79,228.27,99.25,31.14,10.84,8.5223,22.9357,-39.9616
sea_015.jpg,3,#011D8A,1,29,138,227.77,99.04,54.31,10.77,19.0139,37.4696,-61.2542
sea_015.jpg,4,#0488F7,4,136,247,207.4,98.49,96.67,10.57,56.295,10.8743,-63.6731
sea_015.jpg,5,#079BF8,7,155,248,203.1,97.29,97.33,10.21,61.9471,-0.1311,-55.5502
sea_015.jpg,6,#0373F2,3,115,242,211.99,98.81,94.93,9.59,50.203,22.3119,-71.0548
sea_015.jpg,7,#37AEF7,55,174,247,202.92,77.73,97.02,9.45,67.8735,-8.1705,-45.7049
sea_015.jpg,8,#0359E6,3,89,230,217.35,98.85,90.36,9.14,42.5112,34.4435,-77.0551
sea_015.jpg,9,#0237C4,2,55,196,223.77,98.95,76.88,8.67,31.0791,43.167,-76.081
sea_015.jpg,10,#70C2F7,112,194,247,203.54,54.55,96.91,5.34,75.3725,-10.4054,-33.7381
sea_016.jpg,1,#0323EB,3,35,235,231.86,98.63,91.98,26.8,32.1879,65.772,-96.4752
sea_016.jpg,2,#0632F2,6,50,242,228.63,97.66,94.86,15.63,35.5135,60.9599,-95.1029
sea_016.jpg,3,#0C3CF0,12,60,240,227.2,95.11,94.08,13.71,37.1773,55.1948,-91.2167
sea_016.jpg,4,#0413CF,4,19,207,235.38,98.17,81.13,11.33,26.7416,63.2886,-89.6313
sea_016.jpg,5,#030AB2,3,10,178,237.64,98.33,69.98,9.83,21.8157,58.1307,-81.0542
sea_016.jpg,6,#1746ED,23,70,237,226.77,90.32,92.89,7.24,39.0346,48.8977,-86.425
sea_016.jpg,7,#020595,2,5,149,238.88,98.33,58.46,6.15,16.9946,51.3773,-71.2188
sea_016.jpg,8,#020374,2,3,116,239.37,98.53,45.33,3.66,11.4469,42.8005,-59.2604
sea_016.jpg,9,#2655EC,38,85,236,225.78,83.75,92.53,3.48,42.7519,40.133,-79.7642
sea_016.jpg,10,#010352,1,3,82,238.5,99.05,32.17,2.17,6.1004,31.9075,-45.7829
sea_017.jpg,1,#0A13B0,10,19,176,236.51,94.54,69.07,17.09,22.572,54.7143,-78.3956
sea_017.jpg,2,#09119B,9,17,155,236.6,94.46,60.77,15.95,19.2969,49.3204,-71.003
sea_017.jpg,3,#1115EE,17,21,238,238.97,92.73,93.18,15.86,31.3662,71.1945,-99.5914
sea_017.jpg,4,#0C15C4,12,21,196,236.88,94.14,76.96,15.27,25.5964,59.8847,-85.3154
sea_017.jpg,5,#0E17D8,14,23,216,237.48,93.45,84.54,14.69,28.4417,64.8227,-91.8337
sea_017.jpg,6,#091088,9,16,136,236.76,93.65,53.36,12.79,16.4585,44.0398,-63.9732
sea_017.jpg,7,#223FE7,34,63,231,231.23,85.35,90.64,2.71,37.1765,51.6878,-86.2343
sea_017.jpg,8,#3755E0,55,85,224,229.45,75.54,88.0,2.35,42.2442,37.6457,-74.0339
sea_017.jpg,9,#4F71E1,79,113,225,225.75,65.09,88.25,1.75,50.652,23.0281,-60.6855
sea_017.jpg,10,#7092E4,112,146,228,222.25,50.64,89.27,1.55,61.438,10.4952,-44.8449
sea_018.jpg,1,#0127C0,1,39,192,228.19,99.26,75.42,17.25,27.5158,50.7318,-79.8039
sea_018.jpg,2,#023DDB,2,61,219,223.82,99.01,85.79,16.93,34.8158,47.6627,-83.0913
sea_018.jpg,3,#0351E6,3,81,230,219.43,98.7,90.05,16.52,40.485,39.2298,-79.9323
sea_018.jpg,4,#0464EE,4,100,238,215.48,98.48,93.43,14.61,45.948,30.4751,-75.8529
sea_018.jpg,5,#0671ED,6,113,237,212.19,97.48,93.13,10.45,49.5629,21.4082,-69.535
sea_018.jpg,6,#0221A6,2,33,166,228.66,98.65,65.2,9.62,23.2659,45.0566,-71.2974
sea_018.jpg,7,#1184E8,17,132,232,208.01,92.84,91.1,5.27,54.4038,8.2345,-58.8193
sea_018.jpg,8,#021559,2,21,89,227.03,97.84,34.84,3.79,10.9659,23.6716,-42.3497
sea_018.jpg,9,#042186,4,33,134,226.39,97.33,52.73,2.94,19.4704,33.5673,-57.9638
sea_018.jpg,10,#36A2EB,54,162,235,204.19,77.03,92.3,2.63,63.9478,-5.9394,-45.3109
sea_019.jpg,1,#043690,4,54,144,218.3,97.41,56.35,23.42,25.8561,22.8984,-53.2129
sea_019.jpg,2,#0B429A,11,66,154,216.63,93.14,60.29,16.75,30.2191,19.054,-52.2407
sea_019.jpg,3,#032B82,3,43,130,221.12,97.93,50.79,14.57,21.2576,25.2131,-51.9093
sea_019.jpg,4,#083483,8,52,131,218.8,93.84,51.51,10.99,24.0804,19.8451,-48.4373
sea_019.jpg,5,#1B53A8,27,83,168,216.06,84.1,65.75,9.43,36.4011,14.5439,-50.5853
sea_019.jpg,6,#144391,20,67,145,217.09,86.26,56.69,8.88,30.029,15.06,-46.9359
sea_019.jpg,7,#3769B6,55,105,182,216.53,69.9,71.55,4.81,44.613,9.4729,-46.0536
sea_019.jpg,8,#4F79B6,79,121,182,215.41,56.45,71.36,4.19,50.4642,3.6185,-36.4328
sea_019.jpg,9,#2A5598,42,85,152,216.4,72.6,59.64,4.05,36.4885,8.7531,-41.0692
sea_019.jpg,10,#6E99CF,110,153,207,213.05,46.81,81.04,2.91,62.2501,-0.3504,-31.8992
sea_020.jpg,1,#0225A4,2,37,164,227.04,98.62,64.19,17.37,23.7164,41.9553,-68.979
sea_020.jpg,2,#021095,2,16,149,234.26,98.48,58.43,16.97,18.2012,47.6073,-69.1506
sea_020.jpg,3,#0437AE,4,55,174,222.24,97.61,68.42,13.51,28.885,35.1187,-66.9385
sea_020.jpg,4,#0549BC,5,73,188,217.69,97.6,73.77,12.92,34.7992,28.4,-65.3004
sea_020.jpg,5,#010160,1,1,96,239.54,99.45,37.69,11.8,7.9191,37.9832,-52.313
sea_020.jpg,6,#03077A,3,7,122,237.77,97.8,47.82,9.41,13.0734,42.8784,-60.645
sea_020.jpg,7,#075FCF,7,95,207,213.71,96.68,81.26,8.91,42.2824,21.559,-64.1962
sea_020.jpg,8,#0D73DF,13,115,223,210.75,94.21,87.46,5.9,49.1928,14.6576,-62.0061
sea_020.jpg,9,#308CE4,48,140,228,209.44,78.71,89.25,2.11,56.9645,3.7812,-52.0731
sea_020.jpg,10,#6BB7F0,107,183,240,205.78,55.58,94.09,1.1,71.6203,-7.4695,-35.6769
sea_021.jpg,1,#02329B,2,50,155,221.08,98.94,60.74,20.21,25.7184,30.4031,-60.3129
sea_021.jpg,2,#023EB7,2,62,183,220.13,98.97,71.92,19.94,31.5573,33.6317,-67.8473
sea_021.jpg,3,#01237B,1,35,123,223.19,98.83,48.11,16.85,18.6141,27.3528,-51.9247
sea_021.jpg,4,#0A52DC,10,82,220,219.59,95.27,86.35,10.61,39.9859,35.1453,-75.3763
sea_021.jpg,5,#021959,2,25,89,224.2,97.51,35.01,9.2,12.23,20.6503,-40.5636
sea_021.jpg,6,#1965DD,25,101,221,216.8,88.82,86.72,7.35,45.1811,23.844,-67.428
sea_021.jpg,7,#297FE3,41,127,227,212.21,81.97,89.17,5.94,53.2753,10.5156,-57.8647
sea_021.jpg,8,#0B48A2,11,72,162,216.03,92.95,63.62,5.21,32.4382,18.9275,-53.7622
sea_021.jpg,9,#42A0E8,66,160,232,205.76,71.72,90.87,2.84,63.5288,-4.7483,-43.9456
sea_021.jpg,10,#275082,39,80,130,212.94,70.03,50.97,1.85,33.5184,3.1892,-32.3374
sea_022.jpg,1,#011F94,1,31,148,227.5,99.48,57.96,17.75,20.5846,39.579,-64.4446
sea_022.jpg,2,#0132A8,1,50,168,222.44,99.47,66.03,14.51,27.0706,35.7143,-66.2721
sea_022.jpg,3,#0E44B2,14,68,178,220.18,92.39,69.96,12.65,32.8194,28.0702,-62.8103
sea_022.jpg,4,#010C87,1,12,135,234.81,99.51,53.01,10.46,15.6337,44.8982,-64.8049
sea_022.jpg,5,#3650AF,54,80,175,227.25,69.02,68.78,8.61,37.2016,22.7871,-53.8153
sea_022.jpg,6,#071461,7,20,97,231.38,93.03,38.04,8.17,11.9412,28.0114,-46.2192
sea_022.jpg,7,#010F77,1,15,119,232.86,99.11,46.5,7.84,13.6556,38.3287,-57.5164
sea_022.jpg,8,#5A5BAC,90,91,172,239.18,47.41,67.27,7.65,42.2807,21.4064,-43.2619
sea_022.jpg,9,#242867,36,40,103,235.73,65.43,40.31,6.38,19.5601,19.4402,-37.4804
sea_022.jpg,10,#41448A,65,68,138,237.55,52.85,53.97,5.99,31.9476,19.4434,-39.4627
sea_023.jpg,1,#031D8D,3,29,141,228.63,97.69,55.24,17.79,19.3682,38.3839,-62.1554
sea_023.jpg,2,#030F74,3,15,116,233.61,97.16,45.43,16.01,13.3965,37.3531,-56.1749
sea_023.jpg,3,#0330A8,3,48,168,223.8,97.95,65.9,14.32,26.6095,36.9651,-66.8342
sea_023.jpg,4,#03055D,3,5,93,238.7,96.9,36.36,13.31,8.2021,34.8875,-49.5707
sea_023.jpg,5,#0445C8,4,69,200,220.03,98.21,78.52,12.43,34.926,35.5915,-72.19
sea_023.jpg,6,#030549,3,5,73,238.54,95.87,28.77,10.0,5.4926,27.0342,-40.7553
sea_023.jpg,7,#0660E8,6,96,232,216.14,97.62,91.11,8.26,44.5134,30.6767,-74.8686
sea_023.jpg,8,#6799DA,103,153,218,214.03,52.62,85.4,3.69,62.2139,1.7421,-38.1799
sea_023.jpg,9,#32528A,50,82,138,218.06,63.53,54.04,2.22,35.1823,6.7616,-34.4747
sea_023.jpg,10,#3066C2,48,102,194,217.6,75.43,76.11,1.97,44.361,14.3544,-53.2174
sea_024.jpg,1,#1368C2,19,104,194,210.68,90.41,76.03,17.38,44.1963,10.47,-53.3988
sea_024.jpg,2,#0E5BB2,14,91,178,211.89,92.04,69.94,16.61,39.2799,12.5714,-52.2702
sea_024.jpg,3,#094EA4,9,78,164,213.3,94.37,64.28,14.11,34.3797,15.1618,-51.6247
sea_024.jpg,4,#093275,9,50,117,217.34,92.67,46.04,10.94,22.3137,15.3071,-42.4919
sea_024.jpg,5,#09398A,9,57,138,217.41,93.75,54.21,10.71,26.3514,18.6861,-49.0305
sea_024.jpg,6,#094593,9,69,147,213.79,94.01,57.48,9.75,30.4044,14.1296,-47.5751
sea_024.jpg,7,#2D78CB,45,120,203,211.55,77.94,79.78,7.12,49.9004,6.3843,-49.7215
sea_024.jpg,8,#4E8CD8,78,140,216,213.0,63.82,84.69,5.85,57.4438,3.5206,-44.7468
sea_024.jpg,9,#6FA2E3,111,162,227,213.88,51.11,89.13,4.62,65.4962,1.3223,-38.2804
sea_024.jpg,10,#06285C,6,40,92,216.45,93.82,36.13,2.91,17.0065,11.3081,-34.6701
